Título,Título_URL,Imagen,Título1,jsx2858414180,copy10,Descuento,copy3,primary,jsx3425244783,jsx34252447832,Vista
SHARK,"https://www.falabella.com.co/falabella-co/product/72969431/Multiestilizador-Shark-Flexstyle-Cabello-Liso-y-Rizado-6-accesorios-Seca,-Alisa-y-Ondula-HD440BK/72969431?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_iLjKIRHLUFk2AqIF8WxQgKxBT4UPuXPwqPAEc2RLEII_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZftrU1rQOkKce6Ac5mGzbHqJZJhUEzEITGNX1YC-fd9lHeeYnINawytgUKwLX8gj6DQryY_SVN6JSxo85Nj7sXJ248Wu8Nam1gmoeAHJAdmDgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D","https://media.falabella.com.co/falabellaCO/72969431_1/width=240,height=240,quality=70,format=webp,fit=pad","Multiestilizador Flexstyle Cabello Liso y Rizado | 6 accesorios | Seca, Alisa y Ondula | HD440BK",Por Falabella,$  1.059.900  ,-24%,$  1.399.900  ,$  1.059.900  ,Llega mañana,Retira mañana,(4)
REMINGTON,"https://www.falabella.com.co/falabella-co/product/1651702/Plancha-para-cabello-Remington-Therapy-con-Keratinay-Aceite-de-Argan,-plancha-alisadora-para-el-pelo-con-placas-en-ceramica/1651702?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_uUIDvqvHUSno2y8XSXD5HvGm6ev_djzGDNJCWHlV93Y_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XgiZKhSxAUWJy4VnRXt0pRclrxgTY0MWme0qn2PY2n1vRyhz5PRI4_YrFtWxiCT5tXrXYYWL6HHpHvxhU689FynpgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D","https://media.falabella.com.co/falabellaCO/1651702_1/width=240,height=240,quality=70,format=webp,fit=pad","Plancha para cabello Therapy con Keratinay Aceite de Argán, plancha alisadora para el pelo con placas en cerámica",Por Falabella,$  262.900  ,-25%,$  349.900  ,$  262.900  ,Llega mañana,Retira mañana,(173)
TOMMY HILFIGER,https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191,"https://media.falabella.com.co/falabellaCO/72762191_1/width=240,height=240,quality=70,format=webp,fit=pad",Perfume Hombre 100 ml EDT,Por Falabella,$  149.990  ,-39%,,$  169.990  ,Llega mañana,Retira mañana,(536)
OLAPLEX,https://www.falabella.com.co/falabella-co/product/122372119/Duo-Olaplex-0+3/122372120,"https://media.falabella.com.co/falabellaCO/122372120_02/width=240,height=240,quality=70,format=webp,fit=pad",Duo # 0+3,Por Belleza Total. ,$  294.990  ,,,$  294.990  ,Envío gratis,,(7)
MAC COSMETICS,https://www.falabella.com.co/falabella-co/product/73240921/Labial-SOAR-LIP-KIT-MAC-COSMETICS:-Incluye-3-productos/73240921,"https://media.falabella.com.co/falabellaCO/73240921_1/width=240,height=240,quality=70,format=webp,fit=pad",Labial SOAR LIP KIT MAC COSMETICS: Incluye 3 productos,Por Falabella,$  359.700  ,,,$  359.700  ,Llega mañana,Retira mañana,
ISDIN,https://www.falabella.com.co/falabella-co/product/73133689/Bloqueador-Fp-Invisible-Stick-Spf50-10G-en-barra-Isdin-10-gr/73133689,"https://media.falabella.com.co/falabellaCO/73133689_1/width=240,height=240,quality=70,format=webp,fit=pad",Bloqueador Fp Invisible Stick Spf50 10G en barra 10 gr,Por Falabella,$  79.990  ,-25%,$  106.000  ,$  79.990  ,Llega mañana,Retira mañana,
REMINGTON,https://www.falabella.com.co/falabella-co/product/72736072/Secador-de-cabello-REMINGTON-D26A-110F-Numero-de-velocidades-2/72736072?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_A6VskkvqdtWTvWj8jNrLI3bI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2wfnL9erG-EcsZm1RwiAD7N3JMpTm-xyiKPDF1u9i89hMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253A7%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/72736072_1/width=240,height=240,quality=70,format=webp,fit=pad",Secador de cabello D26A-110F Número de velocidades 2,Por Falabella,$  179.900  ,-26%,$  241.900  ,$  179.900  ,Retira mañana,,(26)
REMINGTON,"https://www.falabella.com.co/falabella-co/product/72736071/Plancha-para-cabello-Remington-con-Colageno-y-Biotina,-plancha-alisadora-para-el-pelo-con-placas-en-ceramica/72736071?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_QhA23MxTUEjnhx14DguAqJJvb55aXpbH5PfM1ApMCqo_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7Xgg7g0z-GCNZ6N01EruhbIrnz4kSND19kXtr0dAItfJFPZ5-MVw2SDpgECfryBMH6vDv3P0UUvo1XndiUZxrupMVgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253A8%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D","https://media.falabella.com.co/falabellaCO/72736071_1/width=240,height=240,quality=70,format=webp,fit=pad","Plancha para cabello con Colágeno y Biotina, plancha alisadora para el pelo con placas en cerámica",Por Falabella,$  279.900  ,,$  294.900  ,$  279.900  ,,,(30)
EUCERIN,https://www.falabella.com.co/falabella-co/product/126209614/Eucerin-Antipigment-Dual-Serum-Facial-30ml/126209615,,Antipigment Dual Serum Facial 30ml,Por Mktools,$  272.400  ,,,$  272.400  ,Envío gratis,,(7)
CLINIQUE,https://www.falabella.com.co/falabella-co/product/73089982/Tratamientos-antiedad-SET-MOISTURE-SURGE-SPFVALUE-Clinique-Incluye:-3-Productos/73089982,,Tratamientos antiedad SET MOISTURE SURGE SPFVALUE Incluye: 3 Productos,Por Falabella,$  239.990  ,-26%,$  323.500  ,$  239.990  ,Llega mañana,Retira mañana,
